Ref No,New / New (AddnPO) /New (AddnSuppNoPO)/Repeat,Planned Option Ref No,Approve Indicator,Division,Group,Product Group,Category,Sub-Category,Business Model,Buying Group,Buying Sub Group,Buying Set,Price Establishment,Brand,Option Long Desc,Colour Group,Reporting Colour,Size Group,Style,Pim Product Type,Supplier Site,Country of Manufacture,Unit Cost,Units per Carton,Packaging Method,Supplier Reference,Web Colour,Min Ord Qty,Order Multiple,IBP SELLING PRICE (GBP),ROW SELLING PRICE (GBP),UK01 SELLING PRICE (GBP),DE01 SELLING PRICE (EUR),FR01 SELLING PRICE (EUR),IT01 SELLING PRICE (EUR),ES01 SELLING PRICE (EUR),US01 SELLING PRICE (USD),AU01 SELLING PRICE (AUD),RU01 SELLING PRICE (RUB),NL01 SELLING PRICE (EUR),SE01 SELLING PRICE (SEK),ROE01 SELLING PRICE (EUR),PL01 SELLING PRICE (PLN),DK01 SELLING PRICE (DKK),IRE01 SELLING PRICE (EUR),IBP BRAND RECOMMENDED PRICE (GBP),ROW BRAND RECOMMENDED PRICE (GBP),UK01 BRAND RECOMMENDED PRICE (GBP),DE01 BRAND RECOMMENDED PRICE (EUR),FR01 BRAND RECOMMENDED PRICE (EUR),IT01 BRAND RECOMMENDED PRICE (EUR),ES01 BRAND RECOMMENDED PRICE (EUR),US01 BRAND RECOMMENDED PRICE (USD),AU01 BRAND RECOMMENDED PRICE (AUD),RU01 BRAND RECOMMENDED PRICE (RUB),NL01 BRAND RECOMMENDED PRICE (EUR),SE01 BRAND RECOMMENDED PRICE (SEK),ROE01 BRAND RECOMMENDED PRICE (EUR),PL01 BRAND RECOMMENDED PRICE (PLN),DK01 BRAND RECOMMENDED PRICE (DKK),IRE01 BRAND RECOMMENDED PRICE (EUR),IBP Outlet RP (GBP),ROW Outlet RP (GBP),UK01 Outlet RP (GBP),DE01 Outlet RP (EUR),FR01 Outlet RP (EUR),IT01 Outlet RP (EUR),ES01 Outlet RP (EUR),US01 Outlet RP (USD),AU01 Outlet RP (AUD),RU01 Outlet RP (RUB),NL01 Outlet RP (EUR),SE01 Outlet RP (SEK),ROE01 Outlet RP (EUR),PL01 Outlet RP (PLN),DK01 Outlet RP (DKK),IRE01 Outlet RP (EUR),IBP RRP (GBP),ROW RRP (GBP),UK01 RRP (GBP),DE01 RRP (EUR),FR01 RRP (EUR),IT01 RRP (EUR),ES01 RRP (EUR),US01 RRP (USD),AU01 RRP (AUD),RU01 RRP (RUB),NL01 RRP (EUR),SE01 RRP (SEK),ROE01 RRP (EUR),PL01 RRP (PLN),DK01 RRP (DKK),IRE01 RRP (EUR),Wholesale,Order Row Code,Available to Sell,Auto EAN,Sizes,Allow Duplicate Product,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,FIRST WAREHOUSE,FINAL WAREHOUSE,PO Type,FACTORY,Order Qty,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,FIRST WAREHOUSE ,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,FIRST WAREHOUSE,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority
26,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest26,2000,AUBURN,6190,newStyle26,1,1100000477,GB,60,10,F,101.03.16.26,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
27,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest27,2000,AUBURN,6190,newStyle27,1,1100000477,GB,60,10,F,101.03.16.27,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
28,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest28,2000,AUBURN,6190,newStyle28,1,1100000477,GB,60,10,F,101.03.16.28,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
29,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest29,2000,AUBURN,6190,newStyle29,1,1100000477,GB,60,10,F,101.03.16.29,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
30,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest30,2000,AUBURN,6190,newStyle30,1,1100000477,GB,60,10,F,101.03.16.30,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
31,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest31,2000,AUBURN,6190,newStyle31,1,1100000477,GB,60,10,F,101.03.16.31,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
32,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest32,2000,AUBURN,6190,newStyle32,1,1100000477,GB,60,10,F,101.03.16.32,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
33,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest33,2000,AUBURN,6190,newStyle33,1,1100000477,GB,60,10,F,101.03.16.33,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
34,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest34,2000,AUBURN,6190,newStyle34,1,1100000477,GB,60,10,F,101.03.16.34,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
35,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest35,2000,AUBURN,6190,newStyle35,1,1100000477,GB,60,10,F,101.03.16.35,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
36,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest36,2000,AUBURN,6190,newStyle36,1,1100000477,GB,60,10,F,101.03.16.36,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
37,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest37,2000,AUBURN,6190,newStyle37,1,1100000477,GB,60,10,F,101.03.16.37,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
38,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest38,2000,AUBURN,6190,newStyle38,1,1100000477,GB,60,10,F,101.03.16.38,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
39,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest39,2000,AUBURN,6190,newStyle39,1,1100000477,GB,60,10,F,101.03.16.39,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
40,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest40,2000,AUBURN,6190,newStyle40,1,1100000477,GB,60,10,F,101.03.16.40,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
41,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest41,2000,AUBURN,6190,newStyle41,1,1100000477,GB,60,10,F,101.03.16.41,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
42,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest42,2000,AUBURN,6190,newStyle42,1,1100000477,GB,60,10,F,101.03.16.42,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
43,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest43,2000,AUBURN,6190,newStyle43,1,1100000477,GB,60,10,F,101.03.16.43,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
44,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest44,2000,AUBURN,6190,newStyle44,1,1100000477,GB,60,10,F,101.03.16.44,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
45,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest45,2000,AUBURN,6190,newStyle45,1,1100000477,GB,60,10,F,101.03.16.45,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
46,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest46,2000,AUBURN,6190,newStyle46,1,1100000477,GB,60,10,F,101.03.16.46,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
47,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest47,2000,AUBURN,6190,newStyle47,1,1100000477,GB,60,10,F,101.03.16.47,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
48,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest48,2000,AUBURN,6190,newStyle48,1,1100000477,GB,60,10,F,101.03.16.48,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
49,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest49,2000,AUBURN,6190,newStyle49,1,1100000477,GB,60,10,F,101.03.16.49,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
50,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest50,2000,AUBURN,6190,newStyle50,1,1100000477,GB,60,10,F,101.03.16.50,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
51,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest51,2000,AUBURN,6190,newStyle51,1,1100000477,GB,60,10,F,101.03.16.51,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
52,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest52,2000,AUBURN,6190,newStyle52,1,1100000477,GB,60,10,F,101.03.16.52,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
53,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest53,2000,AUBURN,6190,newStyle53,1,1100000477,GB,60,10,F,101.03.16.53,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
54,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest54,2000,AUBURN,6190,newStyle54,1,1100000477,GB,60,10,F,101.03.16.54,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
55,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest55,2000,AUBURN,6190,newStyle55,1,1100000477,GB,60,10,F,101.03.16.55,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
56,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest56,2000,AUBURN,6190,newStyle56,1,1100000477,GB,60,10,F,101.03.16.56,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
