Ref No,New / New (AddnPO) /New (AddnSuppNoPO)/Repeat,Planned Option Ref No,Approve Indicator,Division,Group,Product Group,Category,Sub-Category,Business Model,Buying Group,Buying Sub Group,Buying Set,Price Establishment,Brand,Option Long Desc,Colour Group,Reporting Colour,Size Group,Style,Pim Product Type,Supplier Site,Country of Manufacture,Unit Cost,Units per Carton,Packaging Method,Supplier Reference,Web Colour,Min Ord Qty,Order Multiple,IBP SELLING PRICE (GBP),ROW SELLING PRICE (GBP),UK01 SELLING PRICE (GBP),DE01 SELLING PRICE (EUR),FR01 SELLING PRICE (EUR),IT01 SELLING PRICE (EUR),ES01 SELLING PRICE (EUR),US01 SELLING PRICE (USD),AU01 SELLING PRICE (AUD),RU01 SELLING PRICE (RUB),NL01 SELLING PRICE (EUR),SE01 SELLING PRICE (SEK),ROE01 SELLING PRICE (EUR),PL01 SELLING PRICE (PLN),DK01 SELLING PRICE (DKK),IRE01 SELLING PRICE (EUR),IBP BRAND RECOMMENDED PRICE (GBP),ROW BRAND RECOMMENDED PRICE (GBP),UK01 BRAND RECOMMENDED PRICE (GBP),DE01 BRAND RECOMMENDED PRICE (EUR),FR01 BRAND RECOMMENDED PRICE (EUR),IT01 BRAND RECOMMENDED PRICE (EUR),ES01 BRAND RECOMMENDED PRICE (EUR),US01 BRAND RECOMMENDED PRICE (USD),AU01 BRAND RECOMMENDED PRICE (AUD),RU01 BRAND RECOMMENDED PRICE (RUB),NL01 BRAND RECOMMENDED PRICE (EUR),SE01 BRAND RECOMMENDED PRICE (SEK),ROE01 BRAND RECOMMENDED PRICE (EUR),PL01 BRAND RECOMMENDED PRICE (PLN),DK01 BRAND RECOMMENDED PRICE (DKK),IRE01 BRAND RECOMMENDED PRICE (EUR),IBP Outlet RP (GBP),ROW Outlet RP (GBP),UK01 Outlet RP (GBP),DE01 Outlet RP (EUR),FR01 Outlet RP (EUR),IT01 Outlet RP (EUR),ES01 Outlet RP (EUR),US01 Outlet RP (USD),AU01 Outlet RP (AUD),RU01 Outlet RP (RUB),NL01 Outlet RP (EUR),SE01 Outlet RP (SEK),ROE01 Outlet RP (EUR),PL01 Outlet RP (PLN),DK01 Outlet RP (DKK),IRE01 Outlet RP (EUR),IBP RRP (GBP),ROW RRP (GBP),UK01 RRP (GBP),DE01 RRP (EUR),FR01 RRP (EUR),IT01 RRP (EUR),ES01 RRP (EUR),US01 RRP (USD),AU01 RRP (AUD),RU01 RRP (RUB),NL01 RRP (EUR),SE01 RRP (SEK),ROE01 RRP (EUR),PL01 RRP (PLN),DK01 RRP (DKK),IRE01 RRP (EUR),Wholesale,Order Row Code,Available to Sell,Auto EAN,Sizes,Allow Duplicate Product,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,Order Origin,Multi Option PO Indicator,PO Consolidation Req Indicator,PO Create Stage,FIRST WAREHOUSE,FINAL WAREHOUSE,PO Type,FACTORY,Order Qty,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,External Order No,Shipping Point,Shipping Method,Freight Forwarder,FIRST WAREHOUSE ,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,External Order No,Shipping Point,Shipping Method,Freight Forwarder,FIRST WAREHOUSE,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,External Order No,Shipping Point,Shipping Method,Freight Forwarder
25,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest25,2000,AUBURN,6190,newStyle25,1,1100000477,GB,60,10,F,501.03.72.25,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
26,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest26,2000,AUBURN,6190,newStyle26,1,1100000477,GB,60,10,F,501.03.72.26,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,3065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
27,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest27,2000,AUBURN,6190,newStyle27,1,1100000477,GB,60,10,F,501.03.72.27,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,4065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
28,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest28,2000,AUBURN,6190,newStyle28,1,1100000477,GB,60,10,F,501.03.72.28,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
29,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest29,2000,AUBURN,6190,newStyle29,1,1100000477,GB,60,10,F,501.03.72.29,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
30,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest30,2000,AUBURN,6190,newStyle30,1,1100000477,GB,60,10,F,501.03.72.30,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
31,Repeat,143711432,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest31,2000,AUBURN,6190,newStyle31,1,1100000477,GB,60,10,F,501.03.72.31,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
32,Repeat,143711433,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest32,2000,AUBURN,6190,newStyle32,1,1100000477,GB,60,10,F,501.03.72.32,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,3065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
33,Repeat,143711434,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest33,2000,AUBURN,6190,newStyle33,1,1100000477,GB,60,10,F,501.03.72.33,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,4065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
34,Repeat,143711435,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest34,2000,AUBURN,6190,newStyle34,1,1100000477,GB,60,10,F,501.03.72.34,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
35,Repeat,143711436,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest35,2000,AUBURN,6190,newStyle35,1,1100000477,GB,60,10,F,501.03.72.35,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
36,Repeat,143711437,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest36,2000,AUBURN,6190,newStyle36,1,1100000477,GB,60,10,F,501.03.72.36,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
37,Repeat,143711438,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest37,2000,AUBURN,6190,newStyle37,1,1100000477,GB,60,10,F,501.03.72.37,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
38,Repeat,143711439,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest38,2000,AUBURN,6190,newStyle38,1,1100000477,GB,60,10,F,501.03.72.38,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,3065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
39,Repeat,143711440,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest39,2000,AUBURN,6190,newStyle39,1,1100000477,GB,60,10,F,501.03.72.39,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,4065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
40,Repeat,143711441,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest40,2000,AUBURN,6190,newStyle40,1,1100000477,GB,60,10,F,501.03.72.40,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
41,Repeat,143711442,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest41,2000,AUBURN,6190,newStyle41,1,1100000477,GB,60,10,F,501.03.72.41,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
42,Repeat,143711443,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest42,2000,AUBURN,6190,newStyle42,1,1100000477,GB,60,10,F,501.03.72.42,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
43,Repeat,143711444,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest43,2000,AUBURN,6190,newStyle43,1,1100000477,GB,60,10,F,501.03.72.43,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
44,Repeat,143711445,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest44,2000,AUBURN,6190,newStyle44,1,1100000477,GB,60,10,F,501.03.72.44,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,3065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
45,Repeat,143711446,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest45,2000,AUBURN,6190,newStyle45,1,1100000477,GB,60,10,F,501.03.72.45,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,4065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
46,Repeat,143711447,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest46,2000,AUBURN,6190,newStyle46,1,1100000477,GB,60,10,F,501.03.72.46,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
47,Repeat,143711448,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest47,2000,AUBURN,6190,newStyle47,1,1100000477,GB,60,10,F,501.03.72.47,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
48,Repeat,143711449,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest48,2000,AUBURN,6190,newStyle48,1,1100000477,GB,60,10,F,501.03.72.48,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
49,Repeat,143711450,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest49,2000,AUBURN,6190,newStyle49,1,1100000477,GB,60,10,F,501.03.72.49,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
50,Repeat,143711451,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest50,2000,AUBURN,6190,newStyle50,1,1100000477,GB,60,10,F,501.03.72.50,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
